"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","12/10/2025","21:06:22","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:06:36","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:28","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:29","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:30","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:30","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:30","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:30","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:30","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:31","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:31","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:31","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:31","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:17:31","","variable [DTS] doesn't exist"
"ERROR","web-0","12/10/2025","21:22:45","","can't create directory C:\railo\tomcat\webapps\ROOT\WEB-INF\railo\temp\graph, directory already exists"
